last_name, first_name,player_id,year,on_base_plus_slg
Beltré, Adrián,134181,2018,0.762
Suzuki, Ichiro,400085,2018,0.46
Martinez, Victor,400121,2018,0.65
Utley, Chase,400284,2018,0.61
Pujols, Albert,405395,2018,0.7
Holliday, Matt,407812,2018,0.849
Mauer, Joe,408045,2018,0.73
Cabrera, Miguel,408234,2018,0.843
González, Adrián,408236,2018,0.672
Phillips, Brandon,408252,2018,0.52
Reyes, José,408314,2018,0.58
Mathis, Jeff,425772,2018,0.544
Choo, Shin-Soo,425783,2018,0.811
Rivera, René,425784,2018,0.694
Wainwright, Adam,425794,2018,0.182
Greinke, Zack,425844,2018,0.566
Molina, Yadier,425877,2018,0.75
Canó, Robinson,429664,2018,0.845
Encarnación, Edwin,429665,2018,0.81
Bautista, José,430832,2018,0.726
Hamels, Cole,430935,2018,0.394
Jones, Adam,430945,2018,0.732
Martin, Russell,431145,2018,0.663
Granderson, Curtis,434158,2018,0.782
Davis, Rajai,434658,2018,0.559
Ramirez, Hanley,434670,2018,0.708
Sánchez, Aníbal,434671,2018,0.072
Morales, Kendrys,434778,2018,0.769
Kendrick , Howie,435062,2018,0.805
Wilson, Bobby,435064,2018,0.523
Kinsler, Ian,435079,2018,0.681
McCarthy, Brandon,435221,2018,0.275
McCann, Brian,435263,2018,0.64
Walker, Neil,435522,2018,0.663
Suzuki, Kurt,435559,2018,0.776
Desmond, Ian,435622,2018,0.729
Cruz , Nelson,443558,2018,0.851
Trumbo, Mark,444432,2018,0.765
Peralta, David,444482,2018,0.868
Piña, Manny,444489,2018,0.702
Escobar, Alcides,444876,2018,0.592
Jay, Jon,445055,2018,0.677
Prado, Martín,445988,2018,0.592
Moore, Adam,446192,2018,0.707
Duda, Lucas,446263,2018,0.731
Wieters, Matt,446308,2018,0.704
Longoria, Evan,446334,2018,0.693
Cozart, Zack,446359,2018,0.658
Guyer, Brandon,446386,2018,0.671
Rodríguez, Sean,446481,2018,0.59
Lobatón, Jose,446653,2018,0.47
Hill, Rich,448179,2018,0.186
Reynolds, Mark,448602,2018,0.804
Davis, Chris,448801,2018,0.539
Guerra, Junior,448855,2018,0.314
Orlando, Paulo,449181,2018,0.394
Vargas, Jason,450306,2018,0.327
Zobrist, Ben,450314,2018,0.818
Adduci, James,451192,2018,0.676
Fowler, Dexter,451594,2018,0.576
Flowers, Tyler,452095,2018,0.7
Headley, Chase,452104,2018,0.368
Pence, Hunter,452254,2018,0.59
Span, Denard,452655,2018,0.76
Lester, Jon,452657,2018,0.288
Cabrera, Asdrúbal,452678,2018,0.774
Robinson, Shane,453203,2018,0.432
Scherzer, Max,453286,2018,0.545
Buchholz, Clay,453329,2018,0.191
Richard, Clayton,453385,2018,0.346
Arrieta, Jake,453562,2018,0.388
Blackmon, Charlie,453568,2018,0.86
Blanco, Grégor,453923,2018,0.579
Frazier, Todd,453943,2018,0.693
Ellis, A.J.,454560,2018,0.722
Iannetta, Chris,455104,2018,0.73
Maldonado, Martín,455117,2018,0.627
Chirinos, Robinson,455139,2018,0.757
Stewart, Chris,455755,2018,0.435
Young, Chris,455759,2018,0.615
Markakis, Nick,455976,2018,0.806
Pedroia, Dustin,456030,2018,0.322
Castillo, Welington,456078,2018,0.71
Kratz, Erik,456124,2018,0.635
Núñez, Eduardo,456488,2018,0.677
Cueto, Johnny,456501,2018,0
Pearce, Steve,456665,2018,0.89
Bailey, Homer,456701,2018,0.263
