last_name, first_name,player_id,year,r_total_stolen_base
Pujols, Albert,405395,2019,3
Cabrera, Miguel,408234,2019,0
Mathis, Jeff,425772,2019,1
Choo, Shin-Soo,425783,2019,15
Rivera, Rene,425784,2019,0
Wainwright, Adam,425794,2019,0
Greinke, Zack,425844,2019,1
Molina, Yadier,425877,2019,6
Canó, Robinson,429664,2019,0
Encarnacion, Edwin,429665,2019,0
Hamels, Cole,430935,2019,0
Jones, Adam,430945,2019,2
Martin, Russell,431145,2019,1
Granderson, Curtis,434158,2019,0
Davis, Rajai,434658,2019,0
Ramirez, Hanley,434670,2019,0
Sanchez, Anibal,434671,2019,0
Morales, Kendrys,434778,2019,0
Kendrick , Howie,435062,2019,2
Wilson, Bobby,435064,2019,0
Kinsler, Ian,435079,2019,2
McCann, Brian,435263,2019,0
Walker, Neil,435522,2019,3
Suzuki, Kurt,435559,2019,0
Desmond, Ian,435622,2019,3
Cruz, Nelson,443558,2019,0
Trumbo, Mark,444432,2019,0
Peralta, David,444482,2019,0
Pina, Manny,444489,2019,0
Jay, Jon,445055,2019,0
Prado, Martin,445988,2019,0
Duda, Lucas,446263,2019,0
Wieters, Matt,446308,2019,1
Longoria, Evan,446334,2019,3
Cozart, Zack,446359,2019,0
Rodriguez, Sean,446481,2019,1
Hill, Rich,448179,2019,0
Reynolds, Mark,448602,2019,2
Davis, Chris,448801,2019,0
Vargas, Jason,450306,2019,0
Zobrist, Ben,450314,2019,0
Fowler, Dexter,451594,2019,8
Flowers, Tyler,452095,2019,0
Pence, Hunter,452254,2019,6
Lester, Jon,452657,2019,0
Cabrera, Asdrúbal,452678,2019,4
Tulowitzki, Troy,453064,2019,0
Scherzer, Max,453286,2019,2
Arrieta, Jake,453562,2019,0
Blackmon, Charlie,453568,2019,2
Frazier, Todd,453943,2019,1
Iannetta, Chris,455104,2019,0
Maldonado, Martín,455117,2019,0
Chirinos, Robinson,455139,2019,1
Markakis, Nick,455976,2019,2
Pedroia, Dustin,456030,2019,0
Castillo, Welington,456078,2019,0
Kratz, Erik,456124,2019,0
Nunez, Eduardo,456488,2019,5
Pearce, Steve,456665,2019,0
Cain, Lorenzo,456715,2019,18
Solano, Donovan,456781,2019,0
McCutchen, Andrew,457705,2019,2
Upton, Justin,457708,2019,1
Maybin, Cameron,457727,2019,9
Turner, Justin,457759,2019,2
Posey , Buster,457763,2019,0
Bruce, Jay,457803,2019,1
Votto, Joey,458015,2019,5
Gardner, Brett,458731,2019,10
Joyce, Matt,459964,2019,0
Hundley, Nick,460026,2019,0
Braun, Ryan,460075,2019,11
Butera, Drew,460077,2019,0
Gordon, Alex,460086,2019,5
Gomez, Carlos,460576,2019,4
Kemp, Matt,461314,2019,0
Gonzalez, Gio,461829,2019,0
Andrus, Elvis,462101,2019,31
Cervelli, Francisco,465041,2019,1
Cabrera, Melky,466320,2019,2
Sandoval, Pablo,467055,2019,1
Ramos, Wilson,467092,2019,1
Santana, Carlos,467793,2019,4
Parra, Gerardo,467827,2019,8
Chacín, Jhoulys,468504,2019,0
Gonzalez, Carlos,471865,2019,0
Mercer, Jordy,474568,2019,0
Belt, Brandon,474832,2019,4
Alonso, Yonder,475174,2019,0
Flaherty, Ryan,475247,2019,0
Smoak, Justin,475253,2019,0
Zimmerman, Ryan,475582,2019,0
Hellickson, Jeremy,476451,2019,0
Kershaw, Clayton,477132,2019,0
Avila, Alex,488671,2019,1
Bourjos, Peter,488721,2019,2
Brantley , Michael,488726,2019,3
Castro, Jason,488771,2019,0
Morrison, Logan,489149,2019,0
Hernández, Gorkys,491676,2019,1
Sucre, Jesús,491696,2019,0
Graterol, Juan,492802,2019,0
Gurriel, Yuli,493329,2019,5
Beckham, Gordon,493596,2019,3
Rodríguez, Ronny,500135,2019,3
Solarte, Yangervis,500208,2019,0
Rojas, Miguel,500743,2019,9
Quintana, Jose,500779,2019,0
Escobar, Eduardo,500871,2019,5
Martínez, José,500874,2019,3
Adrianza, Ehire,501303,2019,0
Lagares, Juan,501571,2019,4
Almonte, Abraham,501659,2019,0
Freese, David,501896,2019,0
Davis, Khris,501981,2019,0
Minor, Mike,501985,2019,0
Archer, Chris,502042,2019,0
Pham, Tommy,502054,2019,25
Martinez, J.D.,502110,2019,2
Negron, Kristopher,502117,2019,1
Samardzija, Jeff,502188,2019,0
Leake, Mike,502190,2019,0
Reddick, Josh,502210,2019,5
Freeman, Mike,502273,2019,1
Dyson, Jarrod,502481,2019,30
Murphy, Daniel,502517,2019,1
Gale, Rocky,502570,2019,0
Anderson, Chase,502624,2019,0
Goldschmidt, Paul,502671,2019,3
Holland, Derek,502706,2019,0
Gonzalez, Marwin,503556,2019,1
Darvish, Yu,506433,2019,0
León, Sandy,506702,2019,0
Sanchez, Adrián,506703,2019,0
Altuve, Jose,514888,2019,6
Hernández, César,514917,2019,9
Segura, Jean,516416,2019,10
Castro, Starlin,516770,2019,2
Marte, Starling,516782,2019,25
Pirela, José,517369,2019,0
Bettis, Chad,518452,2019,0
Bumgarner, Madison,518516,2019,0
Centeno, Juan,518542,2019,1
Culberson, Charlie,518586,2019,0
d'Arnaud, Travis,518595,2019,0
Descalso, Daniel,518614,2019,2
Dietrich, Derek,518618,2019,1
Donaldson, Josh,518626,2019,4
Elmore, Jake,518653,2019,0
Freeman, Freddie,518692,2019,6
Grandal, Yasmani,518735,2019,5
Heyward, Jason,518792,2019,8
Kelly, Merrill,518876,2019,0
LeMahieu, DJ,518934,2019,5
Lucroy, Jonathan,518960,2019,0
Moreland, Mitch,519048,2019,1
Moustakas, Mike,519058,2019,3
Pomeranz, Drew,519141,2019,0
Rizzo, Anthony,519203,2019,5
Romine, Austin,519222,2019,1
Sogard, Eric,519299,2019,8
Stanton, Giancarlo,519317,2019,0
Thames, Eric,519346,2019,3
Vogt, Stephen,519390,2019,3
Galvis, Freddy,520471,2019,4
Forsythe, Logan,523253,2019,2
Flores, Wilmer,527038,2019,0
Puello, Cesar,527049,2019,0
Teheran, Julio,527054,2019,0
LaMarre, Ryan,534606,2019,1
Tovar, Wilfredo,541600,2019,0
García, Avisaíl,541645,2019,10
Pérez, Hernán,541650,2019,5
Inciarte, Ender,542255,2019,7
Ozuna, Marcell,542303,2019,12
Villar, Jonathan,542340,2019,40
Ortega, Rafael,542364,2019,3
Adames, Cristhian,542436,2019,0
Santana, Danny,542454,2019,21
Aguilar, Jesús,542583,2019,0
Beckham, Tim,542921,2019,1
Berti, Jon,542932,2019,17
Broxton, Keon,542979,2019,10
Chatwood, Tyler,543022,2019,0
Crawford, Brandon,543063,2019,3
Cron, C.J.,543068,2019,0
Davis, Taylor,543089,2019,0
DeSclafani, Anthony,543101,2019,0
